,Date,Open,Volume,cases,deaths,c_dif,d_dif,o_dif,sc,so
334,2021-05-19,3.66,1952500,33040689,587500,931.0,-192.0,-0.16999999999999993,1.0,-1.0
335,2021-05-20,3.7,1673700,33070307,588154,824.0,-21.0,0.040000000000000036,1.0,1.0
336,2021-05-21,3.74,1701500,33099318,588850,-607.0,42.0,0.040000000000000036,-1.0,1.0
337,2021-05-24,3.65,1522600,33157412,589935,29083.0,389.0,-0.0900000000000003,1.0,-1.0
338,2021-05-25,3.69,1599000,33180250,590635,-35256.0,-385.0,0.040000000000000036,-1.0,1.0
339,2021-05-26,3.58,1361700,33203636,591601,548.0,266.0,-0.10999999999999988,1.0,-1.0
340,2021-05-27,3.63,1524300,33231383,592942,4361.0,375.0,0.04999999999999982,1.0,1.0
341,2021-05-28,3.69,1451000,33253407,593701,-5723.0,-582.0,0.06000000000000005,-1.0,1.0
342,2021-06-01,3.85,4857800,33300482,594827,25051.0,367.0,0.16000000000000014,1.0,1.0
343,2021-06-02,4.1,3994400,33317340,595421,-30217.0,-532.0,0.24999999999999956,-1.0,1.0
344,2021-06-03,4.25,3611700,33336811,596037,2613.0,22.0,0.15000000000000036,1.0,1.0
345,2021-06-04,4.49,4144300,33312812,596176,-43470.0,-477.0,0.2400000000000002,-1.0,1.0
346,2021-06-07,4.57,1854600,33348865,597139,60052.0,824.0,0.08000000000000007,1.0,1.0
347,2021-06-08,4.45,3128600,33363050,597514,-21868.0,-588.0,-0.1200000000000001,-1.0,-1.0
348,2021-06-09,4.61,2035400,33383714,598086,6479.0,197.0,0.16000000000000014,1.0,1.0
349,2021-06-10,4.61,1785500,33399513,598546,-4865.0,-112.0,0.0,-1.0,0.0
350,2021-06-11,4.58,1208000,33416340,599063,1028.0,57.0,-0.03000000000000025,1.0,-1.0
351,2021-06-14,4.64,2531100,33446525,599538,13358.0,-42.0,0.05999999999999961,1.0,1.0
352,2021-06-15,4.69,1546000,33458397,599990,-18313.0,-23.0,0.05000000000000071,-1.0,1.0
353,2021-06-16,4.73,2100200,33472808,600414,2539.0,-28.0,0.040000000000000036,1.0,1.0
354,2021-06-17,4.75,3432300,33484995,600702,-2224.0,-136.0,0.019999999999999574,-1.0,1.0
355,2021-06-18,4.27,2805200,33497695,601171,513.0,181.0,-0.4800000000000004,1.0,-1.0
356,2021-06-21,4.41,2303100,33525182,601718,14787.0,78.0,0.14000000000000057,1.0,1.0
357,2021-06-22,4.64,1680500,33537943,602150,-14726.0,-115.0,0.22999999999999954,-1.0,1.0
358,2021-06-23,4.75,2732100,33551974,602548,1270.0,-34.0,0.11000000000000032,1.0,1.0
359,2021-06-24,4.79,2157200,33566669,602903,664.0,-43.0,0.040000000000000036,1.0,1.0
360,2021-06-25,4.9,3464600,33581632,603361,268.0,103.0,0.11000000000000032,1.0,1.0
361,2021-06-28,4.95,3481000,33608058,603744,11463.0,-75.0,0.04999999999999982,1.0,1.0
362,2021-06-29,4.71,2004200,33623787,604123,-10697.0,-4.0,-0.2400000000000002,-1.0,-1.0
363,2021-06-30,4.75,1899300,33639764,604446,248.0,-56.0,0.040000000000000036,1.0,1.0
364,2021-07-01,4.98,4816900,33704723,604693,48982.0,-76.0,0.23000000000000043,1.0,1.0
365,2021-07-02,5.04,2433800,33725159,604959,-44523.0,19.0,0.05999999999999961,-1.0,1.0
366,2021-07-06,4.93,2186200,33763742,605440,18147.0,215.0,-0.11000000000000032,1.0,-1.0
367,2021-07-07,4.69,2677500,33793961,605762,-8364.0,-159.0,-0.23999999999999932,-1.0,-1.0
368,2021-07-08,4.17,2467900,33843194,606128,19014.0,44.0,-0.5200000000000005,1.0,-1.0
369,2021-07-09,4.49,1549100,33878529,606535,-13898.0,41.0,0.3200000000000003,-1.0,1.0
370,2021-07-12,4.45,1005300,33927213,606926,13349.0,-16.0,-0.040000000000000036,1.0,-1.0
371,2021-07-13,4.41,1220800,33970195,607358,-5702.0,41.0,-0.040000000000000036,-1.0,-1.0
372,2021-07-14,4.4,1869400,34008250,607751,-4927.0,-39.0,-0.009999999999999787,-1.0,-1.0
373,2021-07-15,4.1,2033600,34044268,608089,-2037.0,-55.0,-0.3000000000000007,-1.0,-1.0
374,2021-07-16,4.03,2752600,34096492,608446,16206.0,19.0,-0.0699999999999994,1.0,-1.0
375,2021-07-19,3.55,3305900,34177146,608797,28430.0,-6.0,-0.4800000000000004,1.0,-1.0
376,2021-07-20,3.63,3074200,34239257,609097,-18543.0,-51.0,0.08000000000000007,-1.0,1.0
377,2021-07-21,3.81,2260600,34299048,609494,-2320.0,97.0,0.18000000000000016,-1.0,1.0
378,2021-07-22,4.07,2136200,34364548,609856,5709.0,-35.0,0.26000000000000023,1.0,1.0
379,2021-07-23,3.97,1224200,34447610,610299,17562.0,81.0,-0.10000000000000009,1.0,-1.0
380,2021-07-26,3.87,1767000,34576119,610722,45447.0,-20.0,-0.10000000000000009,1.0,-1.0
